a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-2
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alacritty 0.4.3-1
alex 3.2.5-8
alot 0.9.1-1
alsa-lib 1.2.3.1-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-1
android-tools 30.0.0-2
aom 2.0.0-1
archlinux-keyring 20200603-1
archlinux-nix 2.0.0-1
argon2 20190702-3
arm-none-eabi-binutils 2.34-1
arm-none-eabi-gcc 10.1.0-1
arm-none-eabi-newlib 3.3.0-1
asciidoc 8.6.10-2
aspell 0.60.8-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
avr-binutils 2.34-2
avr-gcc 8.3.0-1
avr-libc 2.0.0-3
avrdude 1:6.3-6
babl 0.1.78-1
base 2-2
bash 5.0.017-1
bat 0.15.4-1
bc 1.07.1-4
binutils 2.34-5
bison 3.6.4-1
bluez 5.54-2
bluez-hciconfig 5.50-1
bluez-libs 5.54-2
bluez-utils 5.54-2
bombadillo-git r375.abc6a17-1
boost 1.72.0-2
boost-libs 1.72.0-2
bridge-utils 1.6-4
brltty 6.0-10
broot 0.16.0-1
brotli 1.0.7-3
bsp-layout 0.0.2-1
bspwm 0.9.9-1
bubblewrap 0.4.1-1
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.53.1-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
castor-git 0.8.6.r2.g1da4c74-1
cava 0.6.1-2
cblas 3.9.0-3
cdparanoia 10.2-8
celt0.5.1 0.5.1.3-5
cfitsio 1:3.48-1
cifs-utils 6.10-1
clang 10.0.0-3
